[01]	ERROR HERRAMIENTA: "eiiichecker"		FECHA: "2018-10-26"		PAGINA WEB: "1"		DESCRIPCION: "Exception('No se ha podido realizar la evaluación',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "TypeError('list indices must be integers or slices, not str',)"
[01]	ERROR HERRAMIENTA: "observatorio"		FECHA: "2018-10-27"		PAGINA WEB: "1"		DESCRIPCION: "KeyError('pautas',)"
