REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/presentacion
FECHA EVALUACIÓN: 2018-11-13

ALERTAS
Link to PDF document	  VECES ENCONTRADO: 1
Unlabeled form element with title	  VECES ENCONTRADO: 2
Accesskey	  VECES ENCONTRADO: 8
Justified text	  VECES ENCONTRADO: 1
Underlined text	  VECES ENCONTRADO: 1
Suspicious alternative text	  VECES ENCONTRADO: 1
Redundant title text	  VECES ENCONTRADO: 3
Redundant link	  VECES ENCONTRADO: 1
A nearby image has the same alternative text	  VECES ENCONTRADO: 1



CARACTERISTICAS
Alternative text	  VECES ENCONTRADO: 4
Image button with alternative text	  VECES ENCONTRADO: 2
Linked image with alternative text	  VECES ENCONTRADO: 7
Null or empty alternative text	  VECES ENCONTRADO: 9
Element language	  VECES ENCONTRADO: 6



