REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/administraciones
FECHA EVALUACIÓN: 2018-11-20

ALERTAS
Accesskey	  VECES ENCONTRADO: 8
Redundant alternative text	  VECES ENCONTRADO: 6
Suspicious alternative text	  VECES ENCONTRADO: 1
Underlined text	  VECES ENCONTRADO: 1
Unlabeled form element with title	  VECES ENCONTRADO: 2
A nearby image has the same alternative text	  VECES ENCONTRADO: 1
Redundant title text	  VECES ENCONTRADO: 11



CARACTERISTICAS
Element language	  VECES ENCONTRADO: 6
Linked image with alternative text	  VECES ENCONTRADO: 3
Image button with alternative text	  VECES ENCONTRADO: 2
Alternative text	  VECES ENCONTRADO: 2



