REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/ciudadanos/ciu_busco_trabajo
FECHA EVALUACIÓN: 2018-11-13

ALERTAS
Redundant title text	  VECES ENCONTRADO: 3
Underlined text	  VECES ENCONTRADO: 1
A nearby image has the same alternative text	  VECES ENCONTRADO: 2
Unlabeled form element with title	  VECES ENCONTRADO: 2
Accesskey	  VECES ENCONTRADO: 8
Redundant alternative text	  VECES ENCONTRADO: 2
Suspicious alternative text	  VECES ENCONTRADO: 1



CARACTERISTICAS
Alternative text	  VECES ENCONTRADO: 4
Image button with alternative text	  VECES ENCONTRADO: 2
Linked image with alternative text	  VECES ENCONTRADO: 3
Element language	  VECES ENCONTRADO: 6



