REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/ciudadanos/ciu_quiero_acceder_a_una_vivienda
FECHA EVALUACIÓN: 2018-10-30

ALERTAS
Accesskey	  VECES ENCONTRADO: 8
Suspicious alternative text	  VECES ENCONTRADO: 1
Unlabeled form element with title	  VECES ENCONTRADO: 2
A nearby image has the same alternative text	  VECES ENCONTRADO: 1
Underlined text	  VECES ENCONTRADO: 1
Redundant title text	  VECES ENCONTRADO: 3



CARACTERISTICAS
Alternative text	  VECES ENCONTRADO: 2
Element language	  VECES ENCONTRADO: 6
Linked image with alternative text	  VECES ENCONTRADO: 3
Image button with alternative text	  VECES ENCONTRADO: 2



