REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/ciudadanos/ciu_quiero_estudiar_y_formarme
FECHA EVALUACIÓN: 2018-11-27

ALERTAS
Accesskey	  VECES ENCONTRADO: 8
Redundant title text	  VECES ENCONTRADO: 3
Unlabeled form element with title	  VECES ENCONTRADO: 2
Underlined text	  VECES ENCONTRADO: 1
A nearby image has the same alternative text	  VECES ENCONTRADO: 1
Suspicious alternative text	  VECES ENCONTRADO: 1



CARACTERISTICAS
Image button with alternative text	  VECES ENCONTRADO: 2
Alternative text	  VECES ENCONTRADO: 2
Element language	  VECES ENCONTRADO: 6
Linked image with alternative text	  VECES ENCONTRADO: 3



