REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/ciudadanos/ciu_necesito_informacion_tributaria
FECHA EVALUACIÓN: 2018-11-06

ALERTAS
Accesskey	  VECES ENCONTRADO: 8
Underlined text	  VECES ENCONTRADO: 1
Unlabeled form element with title	  VECES ENCONTRADO: 2
Suspicious alternative text	  VECES ENCONTRADO: 1
A nearby image has the same alternative text	  VECES ENCONTRADO: 1
Redundant title text	  VECES ENCONTRADO: 3



CARACTERISTICAS
Alternative text	  VECES ENCONTRADO: 2
Linked image with alternative text	  VECES ENCONTRADO: 3
Element language	  VECES ENCONTRADO: 6
Image button with alternative text	  VECES ENCONTRADO: 2



