REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/administraciones/adm_ayudas_y_subvenciones
FECHA EVALUACIÓN: 2018-10-30

ALERTAS
Underlined text	  VECES ENCONTRADO: 1
Redundant title text	  VECES ENCONTRADO: 3
Redundant alternative text	  VECES ENCONTRADO: 2
A nearby image has the same alternative text	  VECES ENCONTRADO: 2
Suspicious alternative text	  VECES ENCONTRADO: 1
Accesskey	  VECES ENCONTRADO: 8
Unlabeled form element with title	  VECES ENCONTRADO: 2



CARACTERISTICAS
Alternative text	  VECES ENCONTRADO: 16
Linked image with alternative text	  VECES ENCONTRADO: 3
Image button with alternative text	  VECES ENCONTRADO: 2
Element language	  VECES ENCONTRADO: 6



